;; -*- coding: utf-8 -*--
a-ba-ga-qi-wei-dang-xiao 阿巴嘎旗委党校
bei-hai-shi-she-hui-zhu-yi-xue-yuan 北海市社会主义学院
bei-hai-shi-wei-dang-xiao 北海市委党校
bei-hai-shi-xing-zheng-xue-yuan 北海市行政学院
bei-hai-yi-shu-she-ji-zhi-ye-xue-yuan 北海艺术设计职业学院
bei-hai-zhi-ye-xue-yuan 北海职业学院
bei-hang-wai-yu-xue-yuan 北航外语学院
bei-hua-da-xue 北华大学
bei-hua-hang-tian-gong-ye-xue-yuan 北华航天工业学院
bei-jing-cai-jing-xue-yuan 北京财经学院
bei-jing-cai-mao-zhi-ye-xue-yuan 北京财贸职业学院
bei-jing-chang-cheng-yan-xiu-xue-yuan 北京长城研修学院
bei-jing-chao-yang-zhi-gong-xue-yuan 北京朝阳职工学院
bei-jing-cheng-shi-jian-she-zhi-gong-da-xue 北京城市建设职工大学
bei-jing-cheng-shi-xue-yuan 北京城市学院
bei-jing-da-xue 北京大学
bei-jing-di-er-wai-guo-yu-xue-yuan 北京第二外国语学院
bei-jing-di-san-shi-fan-xue-xiao 北京第三师范学校
bei-jing-dian-da 北京电大
bei-jing-dian-li-guan-li-gan-bu-xue-yuan 北京电力管理干部学院
bei-jing-dian-qi-gong-cheng-shi-jin-xiu-xue-yuan 北京电气工程师进修学院
bei-jing-dian-ying-xue-yuan 北京电影学院
bei-jing-dian-zi-ke-ji-xue-yuan 北京电子科技学院
bei-jing-dong-fang-da-xue 北京东方大学
bei-jing-dong-fang-yan-xiu-xue-yuan 北京东方研修学院
bei-jing-fu-shu-wai-guo-yu-xue-yuan 北京附属外国语学院
bei-jing-fu-zhuang-xue-yuan 北京服装学院
bei-jing-gao-ji-cai-wu-guan-li-zhuan-xiu-xue-yuan 北京高级财务管理专修学院
bei-jing-gong-shang-da-xue 北京工商大学
bei-jing-gong-shang-guan-li-zhuan-xiu-xue-yuan 北京工商管理专修学院
bei-jing-gong-shang-xue-yuan 北京工商学院
bei-jing-gong-ye-da-xue 北京工业大学
